Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,4985,0.874959,0.0599343,0.832442,0.873194,0.889725,0.900416,0.930746
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.003,0.0546955,0,0,0,0,0
Fraction estimated px,4985,0.746111,0.105637,0.589812,0.721641,0.776949,0.809639,0.890986
Fraction inliers (error <= 1%),4985,0.815765,0.157069,0.428524,0.734136,0.860373,0.937895,0.999353
Fraction outliers (error > 1%),4985,0.184235,0.157069,0.000647419,0.0621051,0.139627,0.265864,0.571476
Max abs. error [m],4985,2.59985,1.37462,0.276614,1.53032,2.41524,3.49252,6.39753
Mean G.T. relative error,4985,0.00634227,0.00354417,0.0013514,0.00382423,0.00544143,0.00795244,0.0141446
Median abs. error [m],4985,0.124056,0.104039,0.014468,0.0495268,0.0925995,0.160324,0.326472
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,4985,0.291582,0.357803,0.000647838,0.0662175,0.162286,0.362145,0.804242
RMSE [m],4985,0.248053,0.18009,0.0213508,0.110676,0.199925,0.336044,0.67205
Runtime [ms],4985,420.041,74.4881,281,372,404,449,564
